GENEID,transcript count
ENSMUSG00000002320.16,13
ENSMUSG00000002324.9,3
ENSMUSG00000002325.16,5
ENSMUSG00000002326.7,5
ENSMUSG00000002329.8,3
ENSMUSG00000002332.17,4
ENSMUSG00000002341.9,1
ENSMUSG00000002342.18,9
ENSMUSG00000002343.12,6
ENSMUSG00000002345.19,5
ENSMUSG00000002346.17,5
ENSMUSG00000002365.11,2
ENSMUSG00000002372.10,7
ENSMUSG00000002379.8,4
ENSMUSG00000002384.3,1
ENSMUSG00000002393.15,4
ENSMUSG00000002395.15,12
ENSMUSG00000002396.9,3
ENSMUSG00000002409.19,3
ENSMUSG00000002413.16,4
ENSMUSG00000002416.14,6
ENSMUSG00000002428.13,6
ENSMUSG00000002455.15,4
ENSMUSG00000002458.14,12
ENSMUSG00000002459.18,6
ENSMUSG00000002475.17,5
ENSMUSG00000002477.6,5
ENSMUSG00000002486.16,4
ENSMUSG00000002489.17,14
ENSMUSG00000002496.11,16
ENSMUSG00000002500.16,2
ENSMUSG00000002504.16,7
ENSMUSG00000002524.18,10
ENSMUSG00000002546.18,9
ENSMUSG00000002550.17,3
ENSMUSG00000002565.17,2
ENSMUSG00000002578.19,6
ENSMUSG00000002580.8,1
ENSMUSG00000002588.14,1
ENSMUSG00000002602.17,4
ENSMUSG00000002603.16,2
ENSMUSG00000002608.9,8
ENSMUSG00000002617.15,5
ENSMUSG00000002625.11,13
ENSMUSG00000002633.5,1
ENSMUSG00000002635.12,3
ENSMUSG00000002658.10,1
ENSMUSG00000002660.9,2
ENSMUSG00000002661.15,3
ENSMUSG00000002664.3,1
ENSMUSG00000002668.9,4
ENSMUSG00000002679.15,6
ENSMUSG00000002688.9,1
ENSMUSG00000002699.14,2
ENSMUSG00000002718.15,9
ENSMUSG00000002728.15,9
ENSMUSG00000002731.7,2
ENSMUSG00000002732.15,4
ENSMUSG00000002733.9,2
ENSMUSG00000002741.10,2
ENSMUSG00000002748.8,5
ENSMUSG00000002763.17,3
ENSMUSG00000002767.14,5
ENSMUSG00000002768.9,9
ENSMUSG00000002769.10,3
ENSMUSG00000002771.13,3
ENSMUSG00000002778.15,5
ENSMUSG00000002781.20,9
ENSMUSG00000002797.10,6
ENSMUSG00000002799.7,3
ENSMUSG00000002803.15,4
ENSMUSG00000002804.5,5
ENSMUSG00000002808.8,4
ENSMUSG00000002812.5,4
ENSMUSG00000002814.16,4
